,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2569H,5.17,5.96,5.32,6.38,8.00,7.76,40.44,14.72,19.58,20.16,22.86,19.70,341.17,580.07,387.28,306.35,388.49,583.81,74.50,98.07,41.19,24.45,50.97,71.22
VNG_2570G,195.05,157.69,160.08,152.68,142.89,146.76,72.11,60.43,50.54,11.96,15.39,16.85,30.22,106.26,87.01,58.79,196.81,100.12,128.68,135.51,189.70,140.73,29.34,246.02
VNG_2573G,38.06,38.34,36.22,75.30,65.79,59.26,444.25,667.84,1131.67,1381.58,1941.82,1619.98,13.04,21.29,32.86,42.29,34.75,27.78,18.51,24.37,30.71,18.22,38.00,0.00
VNG_2574G,1874.17,1780.91,1680.94,2410.84,2323.80,1877.07,1980.54,2888.86,2613.33,1249.15,1439.78,1361.13,50.31,60.65,74.24,29.36,32.77,45.24,71.41,48.88,63.17,37.49,112.36,68.27
VNG_2575G,176.16,153.10,146.78,181.57,150.02,163.59,80.03,163.18,115.17,67.46,79.88,66.35,0.00,0.00,38.12,34.34,0.00,37.59,0.00,0.00,0.00,0.00,0.00,0.00
VNG_2576H,42.98,32.96,30.94,32.41,34.72,38.17,16.50,36.09,26.98,26.19,54.60,32.59,0.00,0.00,40.47,36.46,33.29,0.00,79.80,42.02,0.00,0.00,0.00,0.00
VNG_2577C,98.79,83.55,77.83,81.02,82.27,69.71,50.26,78.72,57.50,68.37,78.52,64.84,80.83,81.21,29.09,0.00,95.72,95.64,57.37,30.21,0.00,301.16,78.49,219.36
VNG_2579G,7.04,5.90,4.95,5.95,7.82,4.99,22.49,13.97,20.42,30.11,31.56,31.22,795.07,561.05,408.81,834.80,605.28,645.10,107.48,198.08,356.53,105.80,36.77,308.25
VNG_2580C,23.47,18.87,20.38,22.89,29.83,25.69,73.15,55.33,42.86,25.30,28.90,28.52,23.75,35.79,34.19,46.20,14.06,44.96,33.71,53.24,37.27,0.00,69.18,64.44
VNG_2581H,1121.42,1297.13,1224.68,791.34,1424.72,1248.40,1371.97,785.68,814.22,436.34,470.48,733.12,1273.84,639.90,1260.83,826.10,565.69,1205.83,904.07,238.01,2748.99,593.27,3092.50,2592.81
VNG_2582H,520.16,430.20,404.19,383.32,374.32,324.21,188.09,261.82,186.75,114.51,119.52,120.20,607.26,207.99,79.48,107.40,196.13,130.65,313.44,82.52,86.64,154.27,160.83,149.82
VNG_2584C,2796.64,2651.11,2106.97,1999.53,2251.01,1728.83,1202.84,1519.67,1364.17,1217.32,969.51,1024.92,367.89,415.81,595.86,357.87,326.75,391.78,130.55,137.48,72.17,257.01,625.19,249.60
VNG_2585H,1904.73,1528.94,1596.60,1600.90,1603.33,1220.18,671.49,1448.73,1164.01,903.07,868.39,801.58,865.08,941.55,830.30,561.02,682.97,409.45,818.62,215.52,452.57,0.00,0.00,782.58
VNG_2586C,21.13,17.82,16.61,10.33,10.81,11.72,17.98,4.76,6.71,2.84,4.66,5.99,384.07,301.46,305.27,321.73,198.99,424.16,68.15,143.53,163.26,178.88,139.86,173.72
VNG_2587C,66.80,61.94,67.92,54.99,50.51,50.94,48.57,46.26,34.73,48.25,47.88,51.48,299.22,381.14,353.86,498.98,227.79,374.29,273.04,239.61,218.04,676.87,145.28,580.04
VNG_2589C,18.09,19.88,24.33,22.69,25.77,22.63,85.01,58.66,64.04,26.47,34.10,31.15,16.53,53.98,53.56,10.72,88.11,46.95,70.40,0.00,25.95,61.60,16.06,89.74
VNG_2591C,58.93,47.85,48.84,40.90,37.89,37.17,26.25,28.74,22.28,9.46,12.17,10.81,39.90,90.20,76.60,69.01,55.13,44.07,37.76,49.71,52.19,0.00,64.58,36.10
VNG_2593H,319.20,250.79,217.87,319.19,324.92,196.72,259.27,368.85,215.21,335.32,339.20,295.14,220.36,129.15,132.19,142.91,86.99,278.13,0.00,54.90,115.28,0.00,0.00,398.69
VNG_2594C,29.85,27.99,27.45,25.37,26.71,26.77,39.37,60.34,38.55,34.55,42.92,42.98,408.54,263.86,147.04,75.70,103.67,220.99,82.84,43.62,183.20,108.73,0.00,158.39
VNG_2595G,50.61,39.77,36.74,31.84,27.82,24.97,29.19,19.76,14.59,28.30,24.13,26.01,172.01,190.09,127.95,215.66,122.22,211.67,97.66,68.56,170.97,42.72,0.00,93.36
VNG_2596G,270.21,251.34,214.59,194.75,218.13,147.04,195.44,165.14,155.87,153.90,164.33,180.07,97.20,170.89,209.90,378.20,345.31,92.01,0.00,653.80,305.10,271.61,94.39,1318.91
VNG_2597C,85.32,70.36,67.16,59.33,71.34,47.33,46.86,54.35,37.07,55.72,78.89,72.38,104.34,253.35,388.08,135.34,226.54,214.01,345.59,285.95,382.12,226.78,945.72,566.36
