,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_1815G,222.5957074,229.5221905,95.70459208,604.8639012,617.6465435,715.0240907,121.4663527,144.6770684,74.24370156,22.58193265,28.92090576,24.94540455,375.4273239,350.9904203,307.7853715,1217.353983,1105.309174,1283.330855,236.8421961,296.1797521,466.4693079,223.4178524,192.4126108,198.1136706
VNG_1816G,62.56636312,58.83424732,34.5975637,94.89234612,109.2363065,97.19860542,47.77145854,24.7363868,26.52506496,5.604387075,7.045589696,11.53264156,0,52.89269825,30.31786061,54.62706325,0,0,0,62.9559907,0,196.1531797,163.5967838,114.3016961
VNG_1818G,185.8960524,169.5616489,141.8764472,175.2974465,172.539044,162.7631078,87.96302044,90.01992581,62.32600252,20.30221241,24.71325862,24.1243729,81.42211373,189.1690786,388.3012326,303.6197519,253.1091549,298.6658551,346.7204642,334.698183,223.6324427,284.4068749,336.0367481,386.7007439
VNG_1820H,431.8562498,373.8589926,324.9547283,365.1553702,298.3270006,248.5219112,310.6197568,710.1554156,609.8491873,317.7167883,296.9770215,258.9821177,888.6396426,580.31572,639.6827271,576.2934701,210.4705772,841.193959,756.8183335,0,418.4088268,1158.827211,690.3504294,0
VNG_1821G,15.62536563,13.4216,11.96412814,22.08643966,21.1230344,15.95797377,67.57504764,112.9692994,86.56610482,33.42832011,43.93664998,28.33688102,42.60464089,32.10290536,19.16799691,13.81484731,0,25.20626362,45.35586429,15.92121507,33.43348811,39.68466761,20.68626347,57.81232295
VNG_1822G,20.52492487,18.15876436,15.5060115,19.10735666,19.70574798,16.63239068,27.55069148,44.93407451,35.50587844,18.83774763,27.2734817,22.09396163,0,37.84749807,23.24365861,0,25.49224624,81.50867449,0,16.08869878,0,0,0,0
VNG_1823C,45.47214413,42.15729126,41.88500157,42.97044382,47.04589978,40.08249115,85.7436715,92.02168957,77.67786905,36.23102937,50.45739605,46.4379605,0,35.57932274,19.1193193,11.48314524,20.96903567,0,0,13.23394398,41.68571168,32.98653464,17.19479917,0
VNG_1826H,46.78679038,41.16044771,32.35950256,40.58540959,32.45887553,31.30784699,60.62353621,80.70994404,50.16237778,29.30591355,45.72387209,33.85790834,1541.284362,580.6862422,762.774919,249.8857437,570.3872118,820.6870337,546.9397235,0,302.3765519,0,0,522.8624137
VNG_1827H,383.5216618,293.6288113,299.2719818,238.9361314,217.6089891,206.1470602,90.59329257,149.2023098,113.3474394,70.32922622,96.63503194,87.13690978,73.45414177,313.6405805,211.5031458,381.0881158,347.9463609,417.1952086,104.2634027,329.3940612,345.8531668,136.8395308,0,797.389052
VNG_1829G,183.7161557,172.4063951,165.8688038,197.7502235,173.2593453,131.3519888,104.6966859,158.5632861,123.243686,116.5723055,142.9963241,116.9779208,50.08932042,44.03322198,54.08495879,32.48363964,44.48798219,88.90331928,17.77469771,0,68.78730353,69.98464031,12.16014341,33.98442504
