,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2383G,150.358,194.884,179.459,371.42,347.763,442.464,100.227,84.379,58.0433,18.4415,53.7964,20.0357,37.2256,228.787,252.794,227.645,173.748,92.4827,188.454,122.045,123.372,106.715,213.565,50.5262
VNG_2384G,125.026,160.185,136.374,296.04,294.859,368.016,136.636,68.6363,54.4259,24.0202,41.8612,27.3542,47.8805,123.251,77.5277,76.1184,59.9042,51.0992,81.2182,115.057,63.6932,38.3259,65.1952,90.7305
VNG_2385H,792.877,980.396,1509.31,1161.47,1165.21,1420.42,5130.18,5264.97,7925.2,4460.81,0,5450.34,5381.14,3459.38,2098.32,1831.27,1080.89,276.604,1046.76,0,1499.03,1131.61,0,0
VNG_2386C,32.0301,35.428,40.8599,28.8001,22.1754,36.1091,40.6675,12.5624,16.0426,10.8337,1303.19,11.9132,19.9704,710.544,539.868,921.532,349.666,477.233,602.003,1876.21,2069.05,1301.6,537.247,1271.04
VNG_2387H,4.95324,10.2726,10.1551,7.46508,11.9188,13.7856,60.3462,23.998,31.3986,35.2793,58.6565,49.7038,40.1932,291.033,204.401,141.223,250.067,139.622,228.963,24.9507,25.2222,31.7335,122.251,123.955
VNG_2390G,123.511,124.759,133.909,152.654,156.339,159.836,199.185,210.823,179.717,311.093,19.0721,294.359,284.25,48.6663,47.1268,35.0651,38.437,39.3448,61.8484,45.4311,32.8039,24.7635,40.8855,107.477
VNG_2392H,905.535,961.483,1098.46,1703.68,1978.58,1656.19,2213.16,3907.82,3310.3,3222.12,16.4962,3567.82,3421.82,23.3852,15.6776,14.4425,38.3604,13.0888,19.813,0,0,0,0,46.4803
VNG_2393G,761.613,901.279,879.916,1507.54,1694.57,1489.15,1726.98,2553.41,2412.18,2756.06,20.933,2388.05,2644,14.8374,36.4728,4.58173,16.2259,58.132,25.1419,17.8085,36.0046,22.6497,0,29.4908
VNG_2394G,139.62,166.254,157.83,152.742,231.996,166.572,272.648,264.656,247.696,249.301,0,271.039,263.638,35.2659,19.7021,59.8947,38.5661,29.6077,7.4697,21.1638,32.0912,13.4586,29.6276,0
VNG_2395C,1310.68,1309.05,1079.24,810.146,941.527,1053.26,405.813,398.252,414.566,394.592,49.8473,379.052,418.278,0,13.1594,43.6415,0,0,19.9566,28.2714,7.14475,26.9677,19.7888,46.8172
VNG_2396G,92.1517,95.3169,89.6673,66.6538,64.4964,67.9001,35.2255,27.6416,30.1087,30.9557,8.80127,41.7019,39.6597,0,11.1527,7.70553,0,20.9499,13.2136,14.9752,0,9.52306,26.205,0
VNG_2397G,228.36,269.329,275.792,199.966,222.756,229.618,121.534,130.523,160.629,213.104,60.0442,223.156,221.617,48.6397,59.7821,67.5886,106.383,102.089,82.4193,14.5948,66.3915,18.5624,30.6473,0
VNG_2398G,103.45,90.0562,92.4252,93.0416,104.374,89.6611,76.4021,114.482,104.187,87.9451,95.5727,91.8165,77.3621,193.55,194.636,155.395,158.747,194.995,155.785,46.4614,58.7087,59.0918,48.7815,192.349
VNG_2399H,54.9082,58.3669,55.9882,37.9367,46.6904,50.847,48.8201,35.7415,38.6737,34.1846,61.6724,29.9855,40.9953,131.141,126.993,40.4957,23.9022,146.8,111.109,0,53.038,100.095,36.7248,0
VNG_2400H,587.342,532.36,514.99,654.359,662.06,566.958,694.858,992.271,728.904,742.493,294.757,619.877,558.179,1056.92,922.782,834.901,967.665,742.889,853.816,324.514,134.2,56.2817,227.146,293.124
VNG_2402H,0,194.055,48.8471,87.6397,27.1568,423.042,840.789,111.31,201.375,167.373,9949.67,498.471,353.9,5641.91,9455.95,11324.3,7712.35,6315.59,8365.12,3385.83,5134.01,15071.9,7109.82,11213.8
VNG_2403H,642.999,554.722,558.844,549.445,521.64,468.573,262.433,389.62,349.056,330.045,280.219,341.948,283.103,241.799,320.349,277.333,566.629,560.678,504.841,186.569,303.854,92.2783,87.0602,102.986
VNG_2404G,36.7797,37.0845,33.6665,27.7306,29.4368,29.0308,47.0784,23.6353,30.7025,27.7032,53.1605,24.1531,28.0873,105.505,82.5202,76.7946,65.9306,75.9237,63.8491,45.2257,41.1461,23.0081,50.6498,74.8935
VNG_2406C,427.145,438.204,412.796,521.828,642.719,459.612,556.151,566.578,455.94,960.691,60.9115,872.192,887.597,129.523,82.0093,86.6583,82.6257,84.5771,146.317,77.7297,104.767,32.9534,126.951,42.9066
VNG_2408C,1050.8,1080.09,907.613,1474.81,1447.85,1109.21,1356.14,1465.52,1369.44,2495.71,1082.99,1826,2170.49,727.231,631.997,873.309,353.46,542.712,787.292,1066.82,1029.41,986.788,1018.27,481.813
VNG_2410G,769.89,766.809,684.966,929.592,1043.89,871.016,1196.35,1049.93,943.585,1649.09,60.9115,1329.81,1527.91,43.1744,96.4815,66.6602,47.2147,36.2473,18.2896,25.9099,65.4796,49.4301,90.6792,42.9066
VNG_2411G,288.488,298.2,293.589,316.999,234.121,404.552,196.73,144.609,176.56,158.502,68.3443,130.136,153.256,22.3582,21.651,27.6164,32.6007,29.1993,44.2,26.8353,40.691,34.1304,31.306,44.4391
VNG_2412H,79.5182,137.382,354.049,268.861,245.357,598.99,1000.17,931.874,1373.03,1105.93,0,934.331,821.231,238.623,186.637,110.528,195.715,133.558,202.172,286.406,72.3805,0,0,237.143
VNG_2413H,44.7878,108.371,303.163,301.211,341.651,708.75,484.587,636.052,1317.01,689.19,22.4059,622.851,827.573,0,42.5881,19.6164,52.1027,17.7778,26.9108,38.1231,38.5379,0,0,0
VNG_2414H,1320.01,1258.28,1009.92,908.943,799.021,802.617,197.754,171.068,137.711,61.8804,24.4832,57.496,64.4234,69.4153,31.0244,32.1526,18.9778,77.704,88.2175,83.3152,21.0554,26.4911,145.793,0
VNG_2415H,900.729,822.389,653.437,691.481,602.872,558.11,272.821,266.135,214.857,85.5376,89.4304,94.1526,141.73,380.333,283.309,274.038,415.924,212.874,268.529,1369.47,461.458,774.116,426.033,0
VNG_2416G,467.066,475.798,429.417,455.823,453.247,479.005,429.25,344.433,394.125,580.5,54.9285,447.012,521.395,175.201,165.309,174.326,53.2213,152.539,115.452,0,35.4287,29.7166,65.4178,0
VNG_2417G,394.795,416.329,368.761,304.257,258.388,312.095,157.953,125.755,107.599,44.7157,51.0212,52.3645,65.9052,30.9978,73.8886,63.8131,56.4976,23.1328,65.6568,74.4098,43.878,23.6595,8.68063,0
VNG_2418G,102.989,101.498,110.197,105.341,111.135,90.2264,99.6433,205.262,176.364,369.17,29.2447,461.368,355.459,10.3644,37.058,48.0071,28.3357,29.0049,35.1247,24.8796,6.28757,0,0,0
VNG_2419C,27.531,32.6553,34.9642,26.9031,26.2341,34.0264,31.8039,32.3881,35.4495,36.5255,118.436,41.3849,39.8168,31.4805,100.834,126.373,143.444,111.592,75.5698,125.948,101.854,168.196,193.948,125.141
VNG_2420G,5.5298,11.0005,11.984,6.4748,14.0822,13.9002,72.7772,7.75811,17.1232,25.0809,63.8367,26.3116,41.9323,70.3855,69.657,43.4694,54.9801,11.2557,25.5573,36.2056,73.1991,23.024,8.44747,19.9854
VNG_2421G,28.5277,40.794,44.4902,39.6311,54.6105,54.3484,177.006,97.8699,179.678,530.343,32.5505,510.633,498.29,92.288,49.4964,62.6957,55.5083,41.3231,50.8238,44.3072,33.592,14.088,31.0132,36.6862
VNG_2422G,54.5631,56.9383,62.5324,73.1893,77.3244,75.9955,123.872,109.671,80.5851,136.227,52.7549,150.731,138.626,106.837,68.441,75.8787,62.3119,93.6821,76.9394,68.3895,77.7754,78.8266,110.699,70.7829
